#GAME Book %d
#MAP Map %d
#BC %d BC
#AD %d AD
#SHARE %d/%d
#SHORTNAME #S
#OWNED #A %s
#GENCITY #S %d
#GENMODEL #A Model %d

'City Screen Text
#HAPPINESS Morale
#CONTROL Control
#FAITH Faith
#UNREST Unrest
#HAPPINESSDEMAND Population
#HAPPINESSPLUS Surplus
#STORAGE Storage
#FOOD Food
#DEMAND Population
#SURPLUS Surplus
#LACK Lack
#MATERIAL Material
#PROD Production
#POLL Pollution
#SUPPORT Units
#PROFIT Profit
#TRADE Trade
#CORR Corruption
#SCIENCE Research
#TAX Tax
#LUX Wealth
#DUMP Dump
#SUPUNITS Supported Units

'Class Screen Text
#UNITOWNER #A
#UNITSPEED Speed
#UNITSTRENGTH Strength
#UNITTRANSPORT Transport
#UNITCOST Cost
#UNITBUILT Built
#UNITINTRO Introduced
#UNITADOPT Adopted
#UNITLOST Lost in combat
#UNITDESTROYED Defeated
#UNITAVAILABLE Available
#UNITINPROD In production
#UNITKNOWN Known active
#UNITSPECIAL Special Unit

'Diplomacy Screen Text
#FRSTATGOV Government: %s
#FRSTATPOP Population: %d
#FRSTATTER Territory: %d
#FRSTATTECH Technology: %d%%
#FRSTATEXP Exploration: %d%%
#FRLASTCONTACT Last visit:
#FRNOCONTACT No contact, just legends
#FRNOVISIT No visit yet
#FROLDCIVILREP (Old dossier dating from %s)
#FRNOCIVILREP (No dossier available)
#FREXTINCT Extinct in
#FRTREATY Relation:
#FRAND ,
#FRCREDIBILITY (%d%% credibility)
#FRTREASURY Treasury: %d%%c
#FRRELATIONS Foreign relations:

'Other Dialog Text
#PRESENT Units present
#SHOWSTRENGTH Strength: %d/%d
#RIVER River
#INITUNIT Military Research
#TECHFOCUS Focus: %s
#NEXUS Stop Research
#SCIENCEREPORT_EXTINCT %s (fallen)
#MODELDRAFT New unit design (%s)
#TAXRATE Tax Rate
#MONEYGAINPOS +%d%%c
#MONEYGAINNEG %d%%c
#TECHGAIN +%d%%r
#TECHWAIT %s (%d Turns)
#COSTDIFF1 Difficulty Level: -25%
#COSTDIFF2 Difficulty Level: ±0
#COSTDIFF3 Difficulty Level: +25%
#NATEXISTS (%s)
#CONSCRIPTS Conscript %s
#WONDEROF %s of %s
#WONDEROWNER (#A)
#EXPIRED (expired)
#DESTROYED (destroyed)
#NOWONDER No wonders built yet
#BUILDORDER Building order for
#BUILDREST Not scheduled:
#ENHANCE %s: %s MP
#SHIPCOMP Components
#SHIPPOW Power
#SHIPHAB Habitation
#SEARCH Search
#RANMAP Random Map
#TWOTERRAINS %s / %s
#MPMAP Multi Player
#NOGAMES No books yet
#AIT_ROUND Round %d,

'Dialog Titles
#TITLE_TRIBE Choose Your Tribe
#TITLE_GOV Choose Government
#TITLE_TECHSELECT What Do We Research Now?
#TITLE_FARTECH Set Focus of Research
#TITLE_CITIES #A Cities
#TITLE_EVENTS City Events in %s
#TITLE_MODELS #A Units
#TITLE_DIAGRAMS Charts
#TITLE_SHIPS Colony Ships
#TITLE_SHIP #A Colony Ship
#TITLE_EMODELS Foreign Unit Designs
#TITLE_RATES Economy
